設定	Innstilling
add_filterを使用した方式はimgタグの発行時にフィルタリングを行い、wp_head～wp_footerを使用した方式はコンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Metoden som bruker add_filter filtrerer img-koder når de publiseres, mens metoden som bruker wp_head to wp_footer behandler alle img-koder i innholdet.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Merk at bilder som er angitt som iøynefallende, spres som OGP og kan ikke beskyttes. Hvis du må beskytte dem, må du endre valget av utdata for HEAD-taggen når du beskytter HTML i de avanserte innstillingene.
OS標準搭載のスクリーンショット機能を保護することはできません	Skjermbildefunksjonen i standard OS kan ikke beskyttes
画像URLの保護	Beskyttelse av bilde-URL-er
即時読み込みをして有効	Virker med umiddelbar innlasting.
遅延読み込みをして有効	Aktivert med forsinket lasting.
画像の保護と組み合わせて使用します、単体では意味がありません	Den brukes i kombinasjon med bildebeskyttelse, men er ikke meningsfull alene.
JavaScriptにより動的に読まれますのでSEOに影響があります	Den leses dynamisk av JavaScript, noe som påvirker SEO.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Utskrift av ASCII-kunst i HTML-kildekoden under HTML-tilsløring og -beskyttelse.
表示なし	Ingen indikasjon
HTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Vis ASCII-tegninger som indikerer intensjonen om å advare når HTML-kilde vises.
ログインしていないブラウザーでソース表示を行って確認して下さい	Sjekk ved å vise kilden i en nettleser som ikke er innlogget
デバッグモード	Feilsøkingsmodus
妨害＋記録のみ	Kun forstyrrelser + opptak.
妨害＋記録＋表示＋リダイレクト	Avskjære + registrere + vise + omdirigere
メニューからは操作できてしまいます	Den kan betjenes fra menyen.
ブラウザーコンソール	Nettleserkonsoll
事実上デバッグモードから操作できてしまいます	Du kan i praksis operere fra feilsøkingsmodus.
HTMLソース表示	Visning av HTML-kilde
view-source:から始まるURLを入力すれば操作できてしまいます	Den kan brukes ved å skrive inn en URL som begynner med view-source:.
印刷	Utskrift
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Utskriftsblokkering, men fungerer ikke bra i enkelte nettlesere
ページ保存	Side lagre
右クリック	Høyreklikk
アドオンがインストールされていると操作できてしまいます	Den kan betjenes hvis tilleggsprogrammer er installert.
コピー・カット	Copy-cut
あまりこのイベントに遭遇することはありません	Det er ikke så ofte vi opplever dette.
テキスト選択	Tekstvalg
デバッガー妨害	Forstyrrelser i feilsøkingsprogrammet
デバッグモードの使い勝手を少し悪くします、ブラウザによってはこの挙動が止められてしまいます	Gjør feilsøkingsmodus litt mindre brukervennlig, noen nettlesere stopper denne oppførselen
リダイレクトするURL	URL å omdirigere til
利用規約などのページに転送すると良いでしょう	Det kan være lurt å videresende dem til sider som for eksempel vilkårene for bruk.
ソース表示を許可する権限	Myndighet til å tillate kildevisning.
ADMINログイン時のみ通常のソース出力	Normal kildeutgang kun ved ADMIN-pålogging
USERログインで通常のソース出力	Normal kildeutgang med USER-pålogging
通常のHTML出力を管理者のみかユーザーログインかを選択します	Velg om normal HTML-utdata kun skal være for administratorer eller brukerinnlogging
HTML保護時のHEADタグの出力	Utdata av HEAD-koder under HTML-beskyttelse
出力しない	Ingen utgang
TITLEタグのみ	Kun TITLE-taggen
WordpressのHEADタグより取得	Hentet fra HEAD-taggen i Wordpress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	For bedriftsbruk, for eksempel sider som bare er for medlemmer eller interne sider, er "ingen utdata" eller "kun TITLE-tagg" helt greit.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	OGP-bilder vil ikke vises i sosiale nettverk med mindre de er hentet fra Wordpress HEAD-taggen
画像botをアクセス禁止にする	Forbud mot bilderoboten.
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます	Ved å unngå bilderoboter i forhold til HTML beskytter man innhold som ikke kan beskyttes av direkte lenker fra bildesøk.
alertメッセージを表示する言語	Språk som varselmeldingen vises på.
Wordpressの言語	Wordpress-språk.
ブラウザの設定言語	Språk for nettleserinnstillinger
メッセージをカスタム設定されている場合は言語を変更できません	Språket kan ikke endres hvis meldingen er tilpasset
view-sourceメッセージを表示する言語	Språk som meldingene i visningskilden vises på.
一時使用トークンの有効期限	Utløpsdato for tokens for midlertidig bruk.
1分	Ett minutt
2分	2 minutter
3分	3 min.
4分	4 min.
5分	5 minutter.
6分	6 min.
7分	7 minutter
8分	8 min.
9分	9 min.
10分	10 minutter.
15分	15 minutter.
20分	20 minutter.
25分	25 minutter.
30分	30 minutter.
35分	35 minutter.
40分	40 minutter.
45分	45 minutter.
50分	50 minutter.
55分	55 minutter.
1時間	1 time
画像URL情報の有効期限を設定します	Angir utløpsdatoen for bilde-URL-informasjonen.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Når bildet er lastet inn, deaktiveres URL-informasjonen og midlertidige brukstokener
一時使用トークンのビット数	Antall bits i tokens for midlertidig bruk
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Angir styrken på det midlertidige brukstokenet som brukes som passord for å kryptere bilde-URL-informasjonen
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Intensiteten øker etter hvert som du går til alternativene som er oppført under rullegardinmenyen, men belastningen på serveren øker
ハッシュ化アルゴリズム	Hashing-algoritme
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Midlertidige tokens brukes som passord for å kryptere bilde-URL-informasjonen, men de må hashes, og styrken på hashingen må stilles inn.
基本設定	Grunninnstilling
高度な設定	Avanserte innstillinger
初期設定に戻す	Tilbakestilling til standard
メッセージの設定	Innstillinger for meldinger
右クリックやソースコード表示時に転送する URL を設定します	Angi URL-adressen som skal videresendes når du høyreklikker eller viser kildekode.
警告メッセージにはHTMLは使用できません	HTML kan ikke brukes til advarselsmeldinger
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Hvis dette skjermbildet er valgt, ignoreres språkinnstillingene i fanen Avanserte innstillinger
以下の文字列が使用できます	Følgende strenger kan brukes
改行	Ny linje
押下されたキー	Trykk på tasten
Neo HTML Protector 設定	Innstillinger for Neo HTML Protector
このプラグインについて	Om denne plugin-modulen.
データをすべてクリアするには、プラグインをアンインストールしてから、インストールしなおして下さい	For å slette alle data avinstallerer du plugin-modulen og installerer den deretter på nytt
Neo HTML Protectorについて	Om Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Denne utvidelsen har som mål å beskytte HTML, bilder osv. som sendes ut fra Wordpress, og beskytte den mot uautorisert bruk av innholdet.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Innhold kan ikke beskyttes perfekt. Men ved å advare dem på alle mulige måter og være forberedt hvis noe skulle skje, bør du kunne løse det på en nasjonalt forskriftsmessig måte.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Du må selvfølgelig forbedre vilkårene for bruk og retningslinjene for nettstedet. Denne plugin-modulen er ikke en app som genererer brukervilkår, men den kan gi deg et hint.
開発者: 夜桜　なの	Utvikler: Nano Yozakura
バージョン	Versjon
ビルド	Bygge
サポートページ	Support-siden
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Miss. sunget av Mr. Uramanira
支援のお願い	Anmodning om assistanse.
Neo HTML Protectorをご利用いただき、ありがとうございます！	Takk for at du bruker Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Vi har brukt mye tid og visdom på å utvikle og vedlikeholde denne utvidelsen, og vi er takknemlige for eventuelle donasjoner som kan hjelpe oss med å skaffe midler til fortsatte forbedringer og oppdateringer.
寄付について	Om donasjoner
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Donasjoner er frivillige og ikke obligatoriske. Det er åpent for alle, slik at plugin-modulen kan brukes gratis. Vi setter imidlertid stor pris på din støtte for å fortsette utviklingen, og vi hjelper gjerne til på alle måter vi kan.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Donasjoner kan gjøres via lenken nedenfor. Hvis du er fra Japan, kan du også donere gratis, og dessuten kan du enkelt donere ved hjelp av Amazon-gavekort.
寄付先	Giver
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Med din støtte vil vi gjøre vårt beste for å gi deg flotte oppdateringer i fremtiden!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Vi takker for støtten og ser frem til å samarbeide med dere i fremtiden.
無効なIPアドレス	Ugyldig IP-adresse.
このWebサイトはCookieとJavaScriptが有効でないと閲覧することはできません	Dette nettstedet kan bare vises med informasjonskapsler og JavaScript aktivert
デバッグモード、コンソールの起動は禁止されています	Feilsøkingsmodus og konsollaktivering er forbudt
以下の情報がサーバーに送信されました	Følgende informasjon har blitt sendt til serveren
あなたのIPアドレス	IP-adressen din.
あなたの端末とブラウザ	Din enhet og nettleser
あなたの押下したキー	Tastene du har trykket på.
リダイレクトをします	Viderekoblinger.
右クリックは禁止されています	Det er forbudt å høyreklikke.
印刷、PDFへの保存は禁止されています	Utskrift og lagring til PDF er forbudt
ページの保存は禁止されています	Det er forbudt å lagre sider.
コピー、カットは禁止されています	Kopiering eller klipping er forbudt.
あなたが起こしたイベント	Hendelser du forårsaket.
HTMLソース表示は禁止されています	Det er forbudt å vise HTML-kilder.
不正アクセスは禁止されています	Uautorisert tilgang er forbudt.
アラビア語	Arabisk
ブルガリア語	Bulgarsk
チェコ語	Tsjekkisk
デンマーク語	Dansk
ドイツ語	Tysk
現代ギリシア語	Moderne gresk
英語	Engelsk
イギリス英語	Britisk engelsk
アメリカ英語	Amerikansk engelsk
スペイン語	Spansk
エストニア語	Estisk
フィンランド語	Finsk
フランス語	Fransk
ハンガリー語	Ungarsk
インドネシア語	Indonesisk
イタリア語	Italiensk
日本語	Japansk
朝鮮語	Koreansk
リトアニア語	Litauisk
ラトビア語	Latvisk
ノルウェー語	Norsk
オランダ語	Nederlandsk
ポーランド語	Polsk
ポルトガリア語	Portugisisk
ブラジルポルトガル語	Brasiliansk portugisisk
ヨーロピアンポルトガル語	Europeisk portugisisk
ルーマニア語	Rumensk
ロシア語	Russisk
スロバキア語	Slovakisk
スロベニア語	Slovensk
スウェーデン語	Svensk
トルコ語	Tyrkisk
ウクライナ語	Ukrainsk
中国語	Kinesisk
簡体中国語	Forenklet kinesisk
繁体中国語	Tradisjonell kinesisk
画像が見つかりません	Bildet ble ikke funnet.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Selv om intensiteten øker etter hvert som du går til alternativene som er oppført under rullegardinmenyen, er belastningen på serveren høyere, og mengden HTML som overføres kan være høyere
JavaScriptにより遅延読まれますのでSEOに影響があります	Forsinket lesing på grunn av JavaScript, noe som påvirker SEO
画像を無理やりダウンロードして実際にダウンロードされるもの	Hva som faktisk lastes ned ved å tvinge bildet til å lastes ned.
PNG形式で黄色い背景の警告画面	Advarselsskjerm med gul bakgrunn i PNG-format.
GIF形式で1×1ピクセルの透過画像	1 x 1 piksel gjennomsiktig bilde i GIF-format.
意味のないHTMLドキュメント	Meningsløse HTML-dokumenter
有効化した時は必ずリダイレクトが発生するため、SEOに影響があります	Hver gang den aktiveres, skjer det en omdirigering, noe som har innvirkning på SEO
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Når bildedata er beskyttet, fungerer ikke hurtigbufring av bilder, slik at nettstedet lastes inn saktere ved neste besøk, noe som påvirker SEO
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Cache-plugin oppdaget Denne plugin-modulen vil ikke fungere korrekt hvis cache-plugin-modulen er aktivert.
スクリーンショット	Skjermdump
OSやブラウザによっては妨害できず、もしくは検出しないことがあります	Noen operativsystemer og nettlesere er kanskje ikke i stand til å fange opp eller oppdage
スクリーンショットの警告メッセージ	Skjermbilde av advarselsmeldinger.
ページ保存の警告メッセージ	Advarselsmelding om lagring av side.
スクリーンショットは禁止されています	Skjermbilder er forbudt.
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Kan ikke fanges opp eller oppdages, avhengig av operativsystem, nettleser og metode
空欄にすると元のURLにリダイレクトをします	Hvis den ikke fylles ut, vil den omdirigere til den opprinnelige URL-en
ライセンス	Lisens
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin-modulen er utviklet som åpen kildekode og er lisensiert under GPL 2.0 eller senere versjoner.
本プラグインには以下のライブラリを同梱しています	Følgende biblioteker er inkludert i denne plugin-modulen
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Andre Raspberry Pi5, ChatGPT og deepl er brukt i utviklingen av denne plugin-modulen
imgタグが呼び出されるごとに画像を保護	Beskytt bildet hver gang img-taggen kalles.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Beskytt alle bilder som lastes opp til Wordpress i all HTML-utdata
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	For 'Beskytt bilde hver gang img-taggen kalles', bruk add_filter og filtrer når du publiserer img-tagger, avhengig av temaet, kan det hende at dette ikke fungerer riktig
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	'Protect all images uploaded to Wordpress out of all HTML output' vil fange opp nesten all Wordpress-aktivitet og behandle alt om img-taggene i innholdet. Noen temaer vil ikke fungere riktig
設定が初期化されました	Innstillingene har blitt initialisert.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Initialiserer plugin-modulen Merk at IP-loggleserdataene ikke slettes her.
リダイレクトなし	Ingen viderekobling
1秒	1 sekund
2秒	2 sek.
3秒	3 sek.
4秒	4 sek.
5秒	5 sek.
6秒	6 sek.
7秒	7 sek.
8秒	8 sek.
9秒	9 sek.
10秒	10 sek.
15秒	15 sekunder.
20秒	20 sek.
25秒	25 sek.
30秒	30 sekunder.
35秒	35 sekunder.
40秒	40 sekunder.
45秒	45 sekunder.
50秒	50 sek.
55秒	55 sek.
リダイレクトまでの時間	På tide å omdirigere.
対象アクションを起こした時の表示デザイン	Vis design når målhandlingen utløses.
黄色の背景の黒文字のベーシックデザイン	Enkel design med svarte bokstaver på gul bakgrunn
黒色の背景の赤文字のホラー風デザイン	Skrekkdesign med rød tekst på svart bakgrunn.
対象アクションを起こした時のサウンド	Lyd når målhandlingen utføres.
サウンドなし	Lydløs
戦闘 - 40秒	Kamp - 40 sek.
おやじ - 3秒	Far - 3 sekunder.
レトロ風ファンファーレ - 2秒	Fanfare i retrostil - 2 s.
レトロ風オープン - 48秒	Retro-stil åpen - 48 sek.
デザイン・音の設定	Design og lydinnstillinger
レトロ風オープン - 42秒	Retro-stil åpen - 42 sek.
おやじ ショート- 3秒	Far kort - 3 sek.
おやじ ロング - 23秒	Far, lang - 23 sek.
ショパン エチュード Op.10-5 黒鍵 高速版 - 59秒	Chopin Etude, op.10-5, svarte tangenter, rask versjon - 59 sek.
スクリーンショットを取得しようとした動作を検出しました	Bevegelse oppdaget under forsøk på å ta et skjermbilde.
スクリーンショットの疑い	Mistenkte skjermbilder.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Deteksjonsmetoden for de ovennevnte elementene er ikke perfekt, og forebyggende deteksjon brukes.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Denne plugin-modulen inneholder musikk fra det uautoriserte Super Nintendo Entertainment System
ウェブサイトの操作において通常使用しないキーでの操作を検出しました	Operasjon oppdaget på taster som normalt ikke brukes i driften av nettstedet
スクリーンショットの疑いの警告メッセージ	Påstått skjermbildeadvarsel.
ショパン エチュード Op.10-12 革命 高速版 - 1分57秒	Chopin Etude Op.10-12 Revolution, hurtigversjon - 1 min 57 sek.
1分10秒	1 min. 10 sek.
1分20秒	1 min 20 sek.
1分30秒	1 minutt og 30 sekunder.
1分40秒	1 minutt og 40 sekunder.
1分50秒	1 minutt og 50 sekunder.
黒色の背景の赤文字の光る文字のデザイン	Design av glødende røde bokstaver på svart bakgrunn.
スクリーンショット、デバッグモード等の起動は禁止されています	Aktivering av skjermbilder, feilsøkingsmodus osv. er forbudt.
警告表示中のBGMを選択します	Velg bakgrunnsmusikk under advarselsvisningen.
有効 音量小さ目	Aktivert Lavt volum
有効 音量大き目	Aktivert Høyeste volum
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Pipetoner ved alle tast-/mus-hendelser under advarselsvisning
対象アクションを起こした時のBGM	BGM når målhandlingen utføres.
対象アクションを起こした時の警告音	Advarselslyd når målhandlingen utføres.
対象アクションを起こした時のマウスカーソルの消去	Sletter musepekeren når målhandlingen utføres.
警告表示中にブラウザのエリアのマウスカーソルを消去します	Fjern musepekeren i nettleserområdet under visning av advarsler
このウェブサイトはCookieとJavaScriptが有効でないと閲覧することはできません	Dette nettstedet kan bare vises med informasjonskapsler og JavaScript aktivert
通常とは異なる方法でのアクセスや操作が検出されました	Det er oppdaget uvanlige tilgangs- eller driftsmetoder.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Noen funksjoner er begrenset av hensyn til sikkerhet og innholdsbeskyttelse.
コンテンツ保護のため一部の機能を制限しています	Noen funksjoner er begrenset for å beskytte innholdet.
あなたが押下したキー	Tast du har trykket på.
戦闘 - 39.8秒	Kamp - 39,8 s.
おやじ ショート- 3.7秒	Far Short - 3,7 sekunder
おやじ ロング - 22.7秒	Far Long - 22,7 sek.
ショパン エチュード Op.10-5 黒鍵 高速版 - 57.8秒	Chopin Etude, op.10-5, svarte tangenter, hurtigversjon - 57,8 sek.
ショパン エチュード Op.10-12 革命 高速版 - 1分54.9秒	Chopin Etude Op.10-12 Revolution, hurtigversjon - 1 min 54,9 sek.
レトロ風ファンファーレ - 2.2秒	Fanfare i retrostil - 2,2 s.
レトロ風オープン - 41.2秒	Retro-stil åpen - 41,2 sek.
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Denne plugin-modulen inneholder skrifttypen og skriftfilene for ASCII-kunst generert av
マリンバの乱打 - 演奏版 - 37.8秒	Marimba Rampant - Fremført versjon - 37,8 sek.
パガニーニ 24の奇想曲より冒頭 - 演奏版 - 27.4秒	Paganini, begynnelsen fra 24 Caprices - Fremført versjon - 27.4 sek.
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 57.8秒	Chopin Etude, op.10-5, svarte tangenter, slått versjon, rask versjon - 57,8 s.
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分54.9秒	Chopin Etude Op.10-12 Revolution, maskinskrevet versjon, hurtigversjon - 1 min 54,9 sek.
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分46.1秒	Chopin Scherzo i b-moll, Op2, maskinskrevet versjon, hurtig forkortet versjon - 1 min 46,1 sek.
ファンファーレ - 19.3秒	Fanfare - 19,3 s.
Firefoxでは音声ブロックされます	Firefox vil blokkere lyd.
Firefoxにおけるデバッグモード	Feilsøkingsmodus i Firefox
テキスト全選択	Utvalg av fulltekst
テキストの選択は禁止されています	Tekstvalg er forbudt.
テキスト全選択時の警告メッセージ	Advarselsmelding når all tekst er valgt.
スクリーンショットだけではなく、デバッグモード等も検出します	Den oppdager skjermbilder samt feilsøkingsmoduser osv.
イベントの設定	Konfigurasjon av hendelser.
メッセージ	Beskjed.
デザイン・音	Design og lyd
初期化	Initialisering
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Vis ASCII-tegninger som indikerer intensjonen om å advare når HTML-kilde vises med view-source.
HTML保護と組み合わせることでコンテンツを保護することができます	Kombinert med HTML-beskyttelse kan innholdet beskyttes
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Bildet lastes inn dovent, men bildet tvinges til å lastes inn 30 sekunder før dette angitte tidspunktet.
有効化した時は必ずリダイレクトが発生するため、著しくSEOに影響があります	Hver gang den aktiveres, skjer det en omdirigering, noe som påvirker SEO betydelig
びっくりするような雰囲気を作ります	Skap en overraskende atmosfære
対象アクションを起こした時のビープ音	Pipelyd når målhandlingen utføres.
警告表示中に端末が暴走したかのような雰囲気を作ります	Skap en atmosfære som om enheten har gått ut av kontroll under advarselsvisningen
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Avhengig av konfigurasjonen av denne plugin-modulen, kan det hende at denne hendelsen sjelden nås
JavaScript描画で有効	Gyldig for JavaScript-rendering.
リダイレクトで有効	Gjelder for viderekoblinger.
リダイレクトで有効を選択した場合、view-source:の動作をされた時の記録もします	Hvis du velger Aktivert for viderekobling, registreres det også når view-source:-atferden er ferdig.
リダイレクトで有効はFirefoxに対しては無効です	Enabled on redirect er ikke gyldig for Firefox
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Hvis du aktiverer JavaScript-gjengivelse, vil det redusere visningshastigheten på nettstedet betydelig
いずれもSEOに著しく影響があります	Begge deler har en betydelig innvirkning på SEO.
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Informasjonskapsler og JavaScript må være aktivert for å kunne bruke dette nettstedet.
AI学習用botをアクセス禁止にする	Forbud mot tilgang til AI-læringsroboter.
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Ved å unngå at AI'ens læringsrobot brukes mot HTML, unngår man at den blir brukt av AI-en, men det løser ikke problemet helt
Firefoxに対しては無効です	Ikke gyldig for Firefox.
SEOに著しく影響があります	Påvirker SEO i betydelig grad.
HTMLをJavaScriptで描画	Gjengivelse av HTML med JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Gjengivelse av HTML med JavaScript som et Firefox-tiltak
PNG形式で1×1ピクセルの透過画像	1 x 1 piksel gjennomsiktig bilde i PNG-format.
