設定	Setting
妨害＋記録のみ	Disturbance + record only
妨害＋記録＋表示＋リダイレクト	Intercept + Record + Display + Redirect
メニューからは操作できてしまいます	It can be operated from the menu.
Firefoxにおけるデバッグモード	Debug mode in Firefox
ブラウザーコンソール	Browser Console
事実上デバッグモードから操作できてしまいます	In effect, it can be operated from debug mode!
HTMLソース表示	HTML source display
view-source:から始まるURLを入力すれば操作できてしまいます	You can operate it by entering a URL that starts with "view-source:".
HTML保護と組み合わせることでコンテンツを保護することができます	Can be combined with HTML protection to protect content
印刷	Printing
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Some browsers do not work well, although they prevent printing
スクリーンショット	Screenshot
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	(Depending on the OS, browser, or method, it may not be intercepted or detected.
ウインドウが背面に移動した時スクリーンショットの疑い	Suspicion of screenshot when window is moved to the back
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	In addition, it reacts to functions other than screenshots
2キー押下のスクリーンショットの疑い	Suspicion of screenshots with 2 key presses
上の項目の検出方法は完全ではありません、予防的に検出を行います	The detection method for the above items is not perfect, we will detect them prophylactically.
スクリーンショットだけではなく、デバッグモード等も検出します	Detects screenshots as well as debug mode, etc.
ページ保存	Page save
右クリック	Right click
アドオンがインストールされていると操作できてしまいます	If add-ons are installed, they can be operated
コピー・カット	Copy-cut
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Depending on the configuration of this plug-in, you may rarely reach this event
テキスト全選択	Text select all
テキスト選択	Text selection
デバッガー妨害	Debugger interference
デバッグモードの使い勝手を少し悪くします、ブラウザによってはこの挙動が止められてしまいます	Makes debug mode a little less usable, some browsers will stop this behavior
リダイレクトするURL	URL to redirect
利用規約などのページに転送すると良いでしょう	You may want to forward it to the Terms of Use and other pages
空欄にすると元のURLにリダイレクトをします	If left blank, it will redirect to the original URL
リダイレクトまでの時間	Time to redirect
リダイレクトなし	No redirect
1秒	1 second
2秒	2 seconds
3秒	3 seconds
4秒	4 seconds
5秒	5 sec.
6秒	6 seconds
7秒	7 seconds
8秒	8 sec.
9秒	9 sec.
10秒	10 sec.
15秒	15 sec.
20秒	20 sec.
25秒	25 sec.
30秒	30 sec.
35秒	35 sec.
40秒	40 sec.
45秒	45 seconds
50秒	50 sec.
55秒	55 sec.
1分	One minute
1分10秒	1 minute 10 seconds
1分20秒	1 minute 20 seconds
1分30秒	1 minute 30 seconds
1分40秒	1 minute 40 seconds
1分50秒	1 minute 50 seconds
2分	2 minutes
ソース表示を許可する権限	Authority to allow source display
ADMINログイン時のみ通常のソース出力	Normal source output only at ADMIN login
USERログインで通常のソース出力	Normal source output with USER login
通常のHTML出力を管理者のみかユーザーログインかを選択します	Select whether normal HTML output is for administrators only or user login
画像を無理やりダウンロードして実際にダウンロードされるもの	What actually gets downloaded by forcing the image to be downloaded
GIF形式で1×1ピクセルの透過画像	1 x 1 pixel transparent image in GIF format
PNG形式で1×1ピクセルの透過画像	1 x 1 pixel transparent image in PNG format
PNG形式で黄色い背景の警告画面	Warning screen with yellow background in PNG format
意味のないHTMLドキュメント	Meaningless HTML documents
HTML保護時のHEADタグの出力	Output of HEAD tag during HTML protection
出力しない	No output
TITLEタグのみ	TITLE tag only
WordpressのHEADタグより取得	Retrieved from Wordpress HEAD tag
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	For corporate use, such as members-only pages or internal pages, "No output" or "TITLE tag only" is fine.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	OGP images will not show up in SNS shares unless they are taken from the Wordpress HEAD tag
画像botをアクセス禁止にする	Ban the image bot
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます	By avoiding image bots for HTML, you can protect content that could not be protected by direct links from image searches.
AI学習用botをアクセス禁止にする	Banning access to AI learning bots
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Avoiding the AI's learning bot against HTML prevents it from being used by the AI, but does not completely address the issue
alertメッセージを表示する言語	Language in which alert messages are displayed
Wordpressの言語	Wordpress Language
ブラウザの設定言語	Browser Preference Language
メッセージをカスタム設定されている場合は言語を変更できません	Language cannot be changed if the message is set to custom
view-sourceメッセージを表示する言語	Language in which view-source messages are displayed
一時使用トークンの有効期限	Expiration date of temporary use tokens
3分	3 minutes
4分	4 minutes
5分	5 min.
6分	6 minutes
7分	7 minutes
8分	8 minutes
9分	9 minutes
10分	10 min.
15分	15 min.
20分	20 min.
25分	25 min.
30分	30 min.
35分	35 min.
40分	40 min.
45分	45 min.
50分	50 minutes
55分	55 min.
1時間	1 hour
画像URL情報の有効期限を設定します	Sets the expiration date of the image URL information
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Once loaded, the image URL information and temporary use token will be disabled
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	The image will be loaded lazily, but the image will be forced to be loaded 30 seconds before this specified time
一時使用トークンのビット数	Number of bits in temporary use token
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Specifies the strength of the temporary use token used as a password to encrypt the image URL information
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	The intensity increases as you move down the drop-down menu, but the load on the server increases and the amount of HTML transferred may be higher
ハッシュ化アルゴリズム	Hashing algorithm
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Set the strength of the temporary tokens used as passwords to encrypt the image URL information, which must be hashed.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	The intensity increases as you move down the drop-down menu, but the load on the server increases
基本設定	Basic setting
高度な設定	Advanced Settings
初期設定に戻す	Restore default settings
デザイン・音の設定	Design and sound settings
イベントの設定	Event Setup
メッセージの設定	Message Settings
右クリックやソースコード表示時に転送する URL を設定します	Set the URL to be forwarded when right-clicking or viewing source code
警告メッセージにはHTMLは使用できません	HTML is not allowed in warning messages
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Setting on this screen ignores the language settings on the Advanced tab
以下の文字列が使用できます	The following strings can be used
改行	New line
押下されたキー	Pressed key
Neo HTML Protector 設定	Neo HTML Protector Settings
メッセージ	Message
デザイン・音	Design & Sound
初期化	Initialization
このプラグインについて	About this Plug-in
設定が初期化されました	Settings have been initialized.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Initialize the plugin. Note that the IP log reader data will not be deleted here.
Neo HTML Protectorについて	About Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	This plugin is intended to protect the HTML, images, etc. output from your Wordpress and to protect your content from unauthorized use.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	We cannot protect the content perfectly, but we can warn people in every possible way and be prepared if something happens. However, by warning them in every way possible and being prepared for any eventuality, they should be able to resolve it in a nationally mandated manner.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Of course, you will need to enhance your Terms of Use and Site Policies. This plugin is not a terms of use generation application, but it can give you a hint.
開発者: 夜桜　なの	Developer: Nano Yozakura
バージョン	Version
ビルド	Build
サポートページ	Support Page
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Miss. Uramanira sings
支援のお願い	Request for Support
Neo HTML Protectorをご利用いただき、ありがとうございます！	Thank you for using Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	The development and maintenance of this plugin has taken a lot of time and wisdom, and we would appreciate a donation, if any, to help us raise funds for continued improvements and updates.
寄付について	About Donations
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Donations are voluntary and not mandatory. Anyone is welcome to use the plugin free of charge. However, your support is greatly appreciated to continue development and we would be happy to help in any way we can.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Donations can be made by clicking on the link below. If you are in Japan, you can also donate for free, and furthermore, you can easily donate with Amazon gift certificates.
寄付先	Donations
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	With your support, we will do our best to bring you great updates in the future!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	We appreciate your support and look forward to working with you in the future.
ライセンス	License
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	This plug-in is developed as open source and is licensed under GPL2.0 or later versions.
本プラグインには以下のライブラリを同梱しています	The following libraries are included with this plug-in
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	This plug-in includes the ASCII art fonts and font files generated by the following
アスキーアート（AA）作成	ASCII art
ラッコ株式会社 利用承諾取得済	Otters, Inc. consent for use obtained.
巨大文字AAジェネレーター	Giant Character AA Generator
LAZE SOFTWARE 利用承諾取得済	LAZE SOFTWARE Usage consent obtained
The Gnome Project 利用承諾取得済	The Gnome Project Usage consent obtained
このプラグインには、有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲が含まれており、正式にライセンスされています。当該楽曲の使用は、有限会社イージェーよりGPL2.0ライセンスの下で正式に許可を得ています	This plug-in contains music from the Super Nintendo Entertainment System
一部で使用しているピアノ音源「Keppys YAMAHA C7」は、KaleidonKep99氏が制作したSoundFontであり、ライセンス条件に従って使用しています	The piano sound source "Keppys YAMAHA C7" used in some parts is SoundFont created by KaleidonKep99 and is used according to the license conditions.
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Other Raspberry Pi5, ChatGPT and deepl are used in the development of this plugin
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Cache plugin detected This plugin will not work properly if cache plugin is enabled
無効なIPアドレス	Invalid IP address
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Cookies and JavaScript must be enabled in order to use this website.
通常とは異なる方法でのアクセスや操作が検出されました	Unusual methods of access or operation have been detected
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Some functions are restricted for security and content protection.
デバッグモード、コンソールの起動は禁止されています	Debug mode and console activation is prohibited
以下の情報がサーバーに送信されました	The following information has been sent to the server
あなたのIPアドレス	Your IP address
あなたの端末とブラウザ	Your device and browser
あなたの押下したキー	Your pressed key
リダイレクトをします	Redirects.
コンテンツ保護のため一部の機能を制限しています	Some functions are restricted to protect content
右クリックは禁止されています	Right-clicking is prohibited
あなたが押下したキー	The key you pressed
印刷、PDFへの保存は禁止されています	Printing and saving to PDF is prohibited
スクリーンショットは禁止されています	Screenshots are not allowed
スクリーンショット、デバッグモード等の起動は禁止されています	Activation of screenshots, debug mode, etc. is prohibited
ページの保存は禁止されています	Saving pages is prohibited
コピー、カットは禁止されています	Copying or cutting is prohibited
あなたが起こしたイベント	The event you caused
テキストの選択は禁止されています	Text selection is prohibited
HTMLソース表示は禁止されています	HTML source display is prohibited
不正アクセスは禁止されています	Unauthorized access is prohibited.
アラビア語	Arabic
ブルガリア語	Bulgarian
チェコ語	Czech
デンマーク語	Danish
ドイツ語	German
現代ギリシア語	Modern Greek
英語	English
イギリス英語	British English
アメリカ英語	American English
スペイン語	Spanish
エストニア語	Estonian
フィンランド語	Finnish
フランス語	French
ハンガリー語	Hungarian
インドネシア語	Indonesian
イタリア語	Italian
日本語	Japanese
朝鮮語	Korean
リトアニア語	Lithuanian
ラトビア語	Latvian
ノルウェー語	Norwegian
オランダ語	Dutch
ポーランド語	Polish
ポルトガリア語	Portuguese
ブラジルポルトガル語	Brazilian Portuguese
ヨーロピアンポルトガル語	European Portuguese
ルーマニア語	Romanian
ロシア語	Russian
スロバキア語	Slovak
スロベニア語	Slovenian
スウェーデン語	Swedish
トルコ語	Turkish
ウクライナ語	Ukrainian
中国語	Chinese
簡体中国語	Simplified Chinese
繁体中国語	Traditional Chinese
不正なリクエストです	Incorrect request.
画像が見つかりません	Image not found
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Avoiding image bots for HTML can protect content that could not be protected by direct links from image search, but cannot be completely addressed
無効なUAをアクセス禁止にする	Disable access to invalid UAs
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Avoid access to invalid strings in user agent characters
Internet Explorerと旧Microsoft Edgeのアクセスに警告を表示する	Warning for Internet Explorer and former Microsoft Edge access
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Avoid access to Internet Explorer and the former Microsoft Edge
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	This plug-in contains music from the unofficial Super Nintendo Entertainment System
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	This plugin contains music using "Keppy s YAMAHA C7" created by Keppy
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	The browser you are currently using is an older version that is no longer supported. For a safer and more comfortable browsing environment, please update your browser to the latest version.
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Combat & Battle Victory - 1min 16.3sec - 630,056bytes - 64kbps - License: CC2.1 or later
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Short - 3.8 seconds - 32,364bytes - 64kbps - License GPL2.0 or later
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Father Long - 23.5 seconds - 195,578bytes - 64kbps - License GPL2.0 or later
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Etude Op.10-5 Black Keys Struck Fast Version - 1 min 0.0 sec - 369,778bytes - 48kbps - License: CC BY-ND 4.0 or later
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Etude, Op.10-12 Revolution, typed version High Speed Version - 1min 57.6sec - 724,457bytes - 48kbps - License: CC BY-ND 4.0 or later
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Scherzo in B flat minor, Op2, typed version, fast short version - 1 min 48.0 sec - 665,369bytes - 48kbps - License: CC BY-ND 4.0 or later
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare - 22.3 seconds - 183,926bytes - 64kbps - License: Public Domain
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Retro-style fanfare - 2.2 seconds - 10,536bytes - 32kbps - License: Public Domain
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Retro-style open - 42.1 seconds - 179,138bytes - 32kbps - License: Public Domain
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Warning for Internet Explorer and former Microsoft Edge
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Alert by ChatGPT - 3.8 seconds - 109,700bytes - 256kbps - License: Public Domain
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Sounds urgent like malware detection Part 1 by ChatGPT - 3.3 seconds - 102,850bytes - 256kbps - License: Public Domain
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Sounds urgent like malware detection Part 2 by ChatGPT - 3.3 seconds - 103,122bytes - 256kbps - License: Public Domain
MRI風サウンド by ChatGPT - 1分14.9秒 - 2,157,371bytes - 256kbps - ライセンス：パブリックドメイン	MRI-like sound by ChatGPT - 1 min 14.9 sec - 2,157,371bytes - 256kbps - License: Public Domain
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	MRI-like sound by ChatGPT - 1 min 14.9 sec - 3,340,392bytes - 320kbps - License: Public Domain
このウェブサイトでは、利用規約違反や不正アクセスの検知・防止を目的として、ユーザーのIPアドレス、閲覧履歴、一部操作ログをCookieおよびデータベースに保存し、必要に応じて警告を行う場合があります。これらの情報は、サイトの健全な運営および法的トラブル対策以外には一切使用いたしません。\n同意されない場合は、これらの目的を達成するためにサービスの提供が困難となるため、閲覧をご遠慮いただく場合があります。	This website may store users' IP addresses, browsing history, and some operation logs in cookies and databases for the purpose of detecting and preventing violations of the Terms of Use and unauthorized access, and may issue warnings as necessary. This information will not be used for any purpose other than the sound operation of the site and to prevent legal problems. \If you do not agree, we may ask you to refrain from browsing the site, as this will make it difficult for us to provide our services to achieve these purposes.
同意する	I agree.
同意しない	Disagree.
確認	Confirmation
このウェブサイトでは、利用規約違反や不正アクセスの検知・防止を目的として、ユーザーのIPアドレス、閲覧履歴、一部操作ログをCookieおよびデータベースに保存し、必要に応じて警告を行う場合があります。これらの情報は、サイトの健全な運営および法的トラブル対策以外には一切使用いたしません。同意されない場合は、これらの目的を達成するためにサービスの提供が困難となるため、閲覧をご遠慮いただく場合があります。	This website may store users' IP addresses, browsing history, and some operation logs in cookies and databases for the purpose of detecting and preventing violations of the Terms of Use and unauthorized access, and may issue warnings as necessary. This information will not be used for any purpose other than the sound operation of the site and to prevent legal problems. If you do not agree, we may ask you to refrain from browsing the site, as this will make it difficult for us to provide services to achieve these purposes.
このウェブサイトでは、不正アクセスの防止や利用規約違反の検知を目的に、IPアドレス、閲覧履歴、操作ログをCookieおよびデータベースに保存することがあります。これらの情報は、サイト運営および法的対応以外では使用せず、第三者には提供しません。	This website may store IP addresses, browsing history, and operation logs in cookies and databases for the purpose of preventing unauthorized access and detecting violations of the Terms of Use. This information will not be used for any purpose other than site operation and legal correspondence, and will not be provided to any third party.
サービスの利用には、これらのデータ処理に同意する必要があります。不同意の場合、サービスの利用が制限されます。ご同意いただくことで、プライバシーポリシーを確認できます。	In order to use the service, you must consent to the processing of these data. If you do not consent, your use of the service will be restricted. By consenting, you can review the Privacy Policy.
プライバシーポリシー	Privacy Policy
EU GDPR対応	EU GDPR Compliance
EU圏内でWordpressを使用するには必ず有効にしてください	Must be enabled to use Wordpress in the EU
確認のボタンが同意する、同意しないのボタンになります	The confirmation button will be the Agree or Disagree button.
お知らせの1行目	First line of the notice
お知らせの2行目	Second line of the notice
非EU向け確認の文字列	Confirmation string for non-EU
EU GDPR向け同意するの文字列	Agree string for EU GDPR
EU GDPR向け同意しないの文字列	String of Disagree for EU GDPR
プライバシーポリシーの文字列	Privacy Policy String
プライバシーポリシーのURLはこちらから設定して下さい	Please set your privacy policy URL here
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	If you set up a Terms of Use, please be sure to place a link to the Terms of Use in your Privacy Policy.
検索エンジン等のURL	URL of search engine etc.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Set the URL of the search engine, etc. to which the screen will be redirected when the user does not agree.
初回訪問時のお知らせの設定	Setting up notifications for initial visits
お知らせ	Notice
プライバシーポリシーには不正操作を検知するためにCookieとデータベースに保存されることを追加して下さい	Please add in your privacy policy that cookies and stored in database to detect unauthorized operations
プライバシーポリシーには以下の内容を追加して下さい	Please add the following to your privacy policy
・不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	For tamper detection, cookies and identifiers such as IP addresses are stored in the database. The stored data shall be deleted at any time at the discretion of the administrator.
・画像保護が有効な場合のみ、画像を正常に保存するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Only when image protection is enabled, data hashed from the IP address and image file name is stored in the database for up to 60 minutes in order to successfully save the image.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	For unauthorized operation detection, cookies and identifiers such as IP addresses are stored in the database. The stored data is deleted at any time at the discretion of the administrator.
画像保護が有効な場合のみ、画像を正常に保存するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Only when image protection is enabled, hashed data of the IP address and image file name is stored in the database for up to 60 minutes in order to successfully store the image.
